"","GSM1423267","GSM1423268","GSM1423269","GSM1423270","GSM1423271","GSM1423272","GSM1423273","GSM1423274","GSM1423275","GSM1423276","GSM1423277","GSM1423278","GSM1423279","GSM1423280","GSM1423281","GSM1423283","GSM1423285","GSM1423287","GSM1423289","GSM1423291","GSM1423293","GSM1423295","GSM1423297","GSM1423299","GSM1423301","GSM1423303","GSM1423305","GSM1423307","GSM1423311","GSM1423316"
"11715562_x_at",9.729828858,9.757880982,7.809465437,9.249052672,7.813778258,7.655825242,8.23747461,9.23728399,8.87925733,8.316096393,10.91903058,8.403507967,9.996597122,8.749973205,4.822298485,7.60875235,11.88767787,8.196964936,11.20544304,10.52304373,10.35341791,11.51181293,11.70289214,11.21275961,11.06242515,10.63890767,10.88539502,11.26817555,10.20617486,11.91224746
"11750102_x_at",4.669027199,6.494722944,5.201875542,6.359221224,6.365897018,5.19259468,5.339715117,5.174397295,4.850151952,5.179283035,4.585374511,5.842858409,6.540441149,4.812420362,5.98690994,6.411935483,8.529097657,5.451631253,9.305508626,7.900200978,6.453590398,9.398620881,7.577306447,8.023974105,5.172933414,9.657709596,7.756866224,5.563255747,9.591642133,9.910812133
"11734035_a_at",3.608963899,3.497297437,3.841598152,3.919067274,4.934175978,3.777793641,3.293446684,3.637721691,3.456685819,3.80193518,3.555161653,3.949088204,6.293214808,7.574005803,6.615528095,4.69811942,6.985322438,3.78163497,9.755178821,6.301937204,3.659858557,6.949504999,5.63913597,5.644397807,4.576349952,7.985051552,5.08143633,3.620810657,9.406577667,6.30427696
"11721305_a_at",5.453217419,5.857691393,5.524371238,5.711483357,8.259616717,5.732141025,5.487022909,5.540383028,5.95662565,5.721931072,6.911441564,8.263130621,7.143011529,7.390107065,8.892598389,8.000426206,9.579864741,7.922640631,11.0920124,8.613292844,7.006372383,9.857510908,7.221815941,7.338932335,6.562140154,9.37942497,7.308620882,5.109944465,10.44128789,8.407738772
"11758222_s_at",8.522509354,8.925403339,8.514579309,9.184791055,9.864705087,8.752823836,8.852450276,8.737810201,8.90673421,8.598342067,9.192438976,8.956700343,9.247560183,9.035440277,10.34315813,9.888393698,11.88772662,8.843834197,12.38893184,11.20719487,9.970894962,12.27040753,10.46550437,11.70911925,8.848841258,11.9071884,12.16463506,9.050148435,11.52217282,11.77629445
"11715765_a_at",4.580595714,4.550970251,4.488406894,6.339912876,9.305291448,5.273691567,4.866961555,5.202896704,4.632784121,4.947320961,7.696658072,5.78832261,7.21893835,7.682560091,8.283485699,9.563875669,8.924876427,5.995895956,8.785858623,7.624091919,6.900785903,8.422766453,6.777565725,8.025069281,8.005498248,7.334673996,6.309770633,6.698597342,7.869974529,7.663610641
"11741768_a_at",3.499513102,3.601854063,3.665158258,4.432589621,5.433300904,3.609443757,3.999953403,3.508856857,4.101129595,4.009768938,3.824965383,4.188238714,6.432846712,7.56708908,6.340271922,5.002382392,6.590761471,3.802804296,9.390377511,6.425929807,3.592898587,6.736150841,5.635658777,6.272983085,5.176944932,7.643177611,5.070629774,4.325284019,9.110106342,6.691362928
"11728038_at",4.896158244,5.156587762,6.344367298,4.924221462,7.087225878,4.410547789,5.777742333,4.599852508,4.599889281,7.742142532,6.512837128,3.577411372,7.681557532,7.806669564,7.995583508,6.941553996,7.980366373,4.369400793,8.264011017,7.190589779,4.58082742,7.232032822,5.54033788,5.88230337,7.443725251,7.573317431,6.846341452,5.219490691,7.053896473,7.700190023
"11737749_a_at",6.404521696,7.067310247,6.643025773,7.043066502,9.599639891,7.161234518,6.432779506,6.644027019,6.828737626,6.806056586,7.11796748,7.700705441,8.158188825,7.962905367,9.322320665,9.637091035,10.44127558,7.368317719,10.53202765,10.01515542,8.86522967,10.76392703,8.929204735,9.315254677,8.566070375,10.18510201,9.420746227,7.803965759,10.16355143,10.42947347
"11728504_a_at",4.723769831,5.791300329,4.642109389,5.61160515,5.756224611,5.14164772,5.191415497,5.850671667,4.98426348,4.696394922,4.977145159,5.150033629,6.141635015,5.018888679,6.355844701,6.097900209,10.50704355,5.147098493,10.65548565,7.27600141,6.078055414,8.145105865,6.686259818,7.819097127,5.709955458,9.013435999,8.638068882,6.087846904,9.060061852,8.615125987
